followers_count,following_count,engagement_rate,account_age_days,posts_per_week,bio_length,profile_picture,username_randomness,spam_keyword_score,ff_ratio,label
195,1114,0.1906539206561106,55,3.362955310522764,3,1,0.7039542098422358,0.33179283069061755,5.712820512820513,1
122,1248,0.7101524003910731,17,0.6944031574502507,11,0,0.48736673183860985,0.2759893159818497,10.229508196721312,1
40957,1956,5.848278479961027,458,3.089099314632002,58,1,0.1620583672019615,0.020909736458961426,0.0477574041067461,0
225,3942,0.6357122777603613,47,8.341462450000177,22,0,0.5894479959443601,0.46203781675079436,17.52,1
6931,300,6.122179086452878,894,2.343826563993226,101,1,0.02717063484367302,0.06866786117241296,0.04328379743182802,0
1105,1837,4.722189811774967,205,8.839498060041805,48,0,0.2289993272285143,0.4952346626946239,1.6624434389140272,1
465,3200,0.5745882096315054,14,18.919085715889516,29,0,0.5621753067157287,0.4368656713083603,6.881720430107527,1
38694,800,14.228220409079034,1368,0.8448611291386197,35,1,0.11104585171959164,0.06752308375620375,0.02067504005789011,0
220,6236,0.631344793138839,63,15.522976794388892,17,0,0.7053507693801961,0.2586886076135357,28.345454545454544,1
90,7586,0.6368589107789333,70,14.020718649948352,15,1,0.908837997609748,0.9920878269879336,84.28888888888889,1
342,6696,1.4753959496081612,70,14.429407381389842,24,1,0.4486594587117484,0.42524309018255657,19.57894736842105,1
99,6631,0.79096634346359,28,1.886778673574605,12,0,0.7972713532068085,0.7782096262717575,66.97979797979798,1
28132,2763,5.514293151197325,1595,4.4823393868126455,115,1,0.1301359593262146,0.09725682356497369,0.09821555523958482,0
119,3378,4.33981884968076,182,14.68812916621701,50,1,0.41339548508725976,0.1845889125223517,28.386554621848738,1
191,744,0.850209157515699,40,0.8842905637334297,18,0,0.922785607729292,0.6904975789932479,3.8952879581151834,1
31903,736,6.8646487715517726,847,4.480624818145345,73,1,0.18428310348915977,0.04838772645642591,0.023069930727517788,0
25671,742,12.763095440389362,304,2.612864939197382,138,1,0.18557305787173678,0.054647636102537644,0.028904210977367457,0
347,2864,1.1032810586903719,9,11.931869268681671,10,0,0.47771880767274766,0.912983552825174,8.253602305475503,1
7073,534,10.858118201106192,1865,2.1548014286229944,160,1,0.23512598821985065,0.07690611331597243,0.07549837409868514,0
1441,4073,1.6463691957004378,78,10.25437881528114,53,1,0.25329872491467503,0.349918282933545,2.826509368494101,1
